year,turn,r1,r2,r3,r4,r5,r6,b
4,66,05,13,20,23,24,25,03
4,67,01,06,07,13,16,32,04
4,68,02,08,11,13,24,31,15
4,69,02,11,15,20,22,29,05
4,70,10,12,21,22,30,33,06
4,71,03,08,16,17,21,29,06
4,72,08,15,18,28,30,33,14
4,73,02,07,13,16,23,28,16
4,74,05,06,15,19,26,29,13
4,75,07,18,21,26,27,28,07
4,76,03,05,13,17,25,31,07
4,77,08,09,10,14,16,26,07
4,78,04,05,10,21,24,26,05
4,79,07,13,14,17,19,30,03
4,80,03,08,20,23,24,26,16
4,81,03,05,21,24,27,32,06
4,82,03,20,24,27,29,30,15
4,83,14,16,27,28,30,33,06
4,84,01,04,08,11,21,25,14
4,85,03,08,11,29,30,32,01
4,86,10,13,18,19,25,27,01
4,87,01,03,07,08,25,26,14
4,88,02,10,19,22,24,32,14
4,89,14,17,20,25,28,30,14
4,90,01,18,20,24,32,33,12
4,91,09,13,14,21,30,33,01
4,92,01,04,08,13,28,31,02
4,93,11,14,20,27,32,33,05
4,94,05,09,10,13,24,25,08
4,95,19,22,27,28,30,32,01
4,96,01,04,12,16,20,30,15
4,97,10,19,20,26,29,31,14
4,98,03,12,13,25,26,31,03
4,99,05,10,21,22,26,33,02
4,100,06,08,09,14,24,33,15
4,101,02,09,14,19,25,26,15
4,102,03,09,12,15,28,32,01
4,103,02,03,05,09,16,21,02
4,104,07,11,17,18,24,29,05
4,105,07,09,10,21,23,30,12
4,106,10,15,23,26,28,29,12
4,107,01,08,12,13,18,20,07
4,108,08,13,14,27,28,31,12
4,109,06,08,10,17,30,31,14
4,110,14,19,20,21,22,31,11
4,111,11,16,18,20,26,31,02
4,112,09,13,15,21,26,33,06
4,113,08,10,23,25,31,32,07
4,114,01,06,09,17,21,22,01
4,115,02,16,20,30,31,33,01
4,116,01,03,05,08,14,33,03
4,117,01,03,07,14,24,25,07
4,118,03,04,07,12,30,31,15
4,119,06,09,18,20,25,33,06
4,120,07,08,18,21,27,32,10
4,121,07,13,16,18,30,32,10
4,122,03,11,14,22,24,31,15
5,1,01,07,08,23,27,28,14
5,2,06,09,20,26,28,33,14
5,3,09,12,15,19,22,31,16
5,4,01,04,08,09,22,23,03
5,5,05,09,20,26,28,33,15
5,6,02,04,05,15,21,31,16
5,7,07,15,17,20,23,33,15
5,8,11,19,22,27,32,33,11
5,9,02,17,22,27,29,31,14
5,10,08,10,11,18,25,26,01
5,11,09,11,13,15,22,30,15
5,12,02,03,06,16,22,31,05
5,13,07,08,16,19,20,24,06
5,14,13,19,21,23,30,32,05
5,15,04,08,09,16,17,29,15
5,16,01,05,06,12,16,30,15
5,17,02,06,10,25,27,31,03
5,18,01,03,06,22,23,25,06
5,19,06,11,12,13,19,22,08
5,20,14,16,19,20,25,29,05
5,21,02,06,24,26,30,31,16
5,22,08,10,12,21,32,33,04
5,23,10,15,19,20,21,25,12
5,24,05,09,14,27,31,32,13
5,25,01,07,10,11,13,32,07
5,26,06,12,14,20,25,26,07
5,27,01,03,04,06,21,32,15
5,28,04,09,22,25,26,32,10
5,29,02,14,21,22,27,30,14
5,30,01,05,09,14,22,28,05
5,31,04,10,16,20,23,32,07
5,32,05,15,19,20,25,29,03
5,33,07,08,12,14,19,20,07
5,34,05,17,18,25,28,32,09
5,35,12,16,21,28,29,30,14
5,36,12,19,20,21,26,31,15
5,37,07,12,14,22,24,32,16
5,38,04,07,11,20,27,28,16
5,39,02,16,18,19,21,29,09
5,40,01,12,21,24,30,32,13
5,41,02,11,16,23,24,29,03
5,42,11,16,21,26,27,30,15
5,43,04,05,06,07,08,32,05
5,44,01,06,16,17,18,22,09
5,45,01,07,10,15,18,20,10
5,46,09,16,18,20,22,24,05
5,47,02,03,05,07,08,27,15
5,48,06,07,08,10,16,28,02
5,49,02,03,08,10,25,27,12
5,50,02,09,12,20,26,32,13
5,51,03,06,14,19,20,21,02
5,52,01,02,14,17,30,32,01
5,53,04,07,10,14,27,29,09
5,54,05,13,17,18,21,29,14
5,55,05,20,22,30,32,33,09
5,56,12,17,19,27,29,31,09
5,57,05,06,10,15,30,31,13
5,58,04,06,10,21,25,26,10
5,59,07,11,14,18,24,29,07
5,60,09,12,21,25,31,33,13
5,61,05,09,14,21,23,24,01
5,62,02,07,11,12,20,23,07
5,63,02,11,13,18,22,30,04
5,64,10,18,23,27,30,32,08
5,65,12,16,17,21,22,23,16
5,66,02,04,10,11,25,28,05
5,67,03,12,16,20,21,26,16
5,68,01,08,10,13,25,33,13
5,69,07,09,21,24,31,33,12
5,70,03,04,08,14,16,26,04
5,71,04,08,12,14,16,22,10
5,72,06,10,19,20,24,33,11
5,73,01,06,08,09,18,20,01
5,74,06,09,18,20,26,29,09
5,75,11,13,14,16,18,31,14
5,76,04,09,11,22,25,28,13
5,77,08,17,22,24,32,33,16
5,78,03,11,15,20,26,32,11
5,79,03,09,20,24,25,28,05
5,80,01,12,14,26,27,32,16
5,81,02,04,10,12,26,30,03
5,82,01,07,11,14,19,20,12
5,83,03,05,09,14,16,30,13
5,84,01,02,07,15,19,20,03
5,85,08,09,13,14,20,22,12
5,86,07,11,12,24,27,29,12
5,87,08,09,15,16,23,26,08
5,88,01,03,07,18,20,24,07
5,89,05,19,20,23,26,31,12
5,90,01,09,21,25,29,32,03
5,91,01,11,12,15,26,27,13
5,92,08,13,19,26,28,31,10
5,93,04,06,17,23,25,29,14
5,94,03,05,09,23,27,33,03
5,95,09,12,18,21,28,29,05
5,96,04,05,17,18,26,33,04
5,97,05,10,23,27,28,30,15
5,98,12,15,19,22,31,33,01
5,99,10,13,16,22,24,31,09
5,100,02,04,09,14,16,31,03
5,101,09,16,19,21,22,24,12
5,102,02,05,06,14,24,31,12
5,103,04,07,16,18,23,30,07
5,104,02,04,21,23,30,33,09
5,105,04,15,23,30,32,33,03
5,106,01,11,13,24,26,31,13
5,107,09,10,20,24,25,26,11
5,108,03,10,12,24,29,30,06
5,109,03,05,13,15,17,31,04
5,110,07,10,16,19,24,25,09
5,111,03,07,15,16,19,29,09
5,112,04,12,22,28,29,30,16
5,113,15,18,20,22,26,27,03
5,114,06,07,10,15,21,27,06
5,115,03,12,18,23,30,33,02
5,116,04,06,08,14,15,30,10
5,117,06,17,22,27,28,32,03
5,118,04,09,12,15,26,31,16
5,119,01,07,11,18,20,22,02
5,120,01,06,13,18,30,32,14
5,121,01,07,20,25,31,32,12
5,122,01,04,07,14,30,32,09
5,123,11,12,13,17,18,25,07
5,124,05,06,10,19,31,33,11
5,125,06,14,18,28,31,32,03
5,126,02,08,13,19,25,26,09
5,127,04,06,11,14,23,25,12
5,128,02,04,14,23,29,33,15
5,129,05,10,14,20,27,33,03
5,130,03,05,09,15,20,25,16
5,131,02,07,10,11,12,24,03
5,132,02,04,10,18,27,29,15
5,133,01,07,14,16,18,25,11
5,134,04,13,14,18,26,30,01
5,135,01,05,13,15,21,25,11
5,136,05,14,16,18,25,27,13
5,137,03,09,15,23,25,33,12
5,138,03,05,06,11,20,22,13
5,139,02,07,20,23,32,33,10
5,140,04,06,07,08,12,17,07
5,141,03,05,08,12,16,19,15
5,142,07,10,12,17,22,29,05
5,143,03,10,15,17,20,32,08
5,144,01,08,14,15,19,27,09
5,145,03,07,08,17,20,28,15
5,146,07,11,19,20,24,28,02
5,147,06,07,15,27,28,30,10
5,148,03,15,17,23,24,29,13
5,149,11,16,21,23,25,32,07
5,150,03,07,10,14,18,20,02
5,151,04,11,12,13,19,30,05
5,152,01,05,12,14,21,27,03
5,153,04,05,07,21,26,29,01
6,1,01,12,15,19,21,28,03
6,2,07,13,16,21,26,28,09
6,3,02,04,05,06,16,20,12
6,4,04,08,17,27,28,31,07
6,5,03,19,20,24,26,27,11
6,6,08,21,22,23,26,32,14
6,7,04,16,18,27,32,33,07
6,8,03,05,09,18,28,32,16
6,9,05,06,08,20,26,30,06
6,10,04,06,12,19,27,29,08
6,11,05,07,08,14,27,31,11
6,12,09,11,13,27,31,33,10
6,13,01,05,06,12,16,21,11
6,14,06,14,26,29,32,33,07
6,15,02,03,09,15,29,32,03
6,16,01,07,13,17,23,30,16
6,17,03,04,08,31,32,33,02
6,18,01,13,14,17,24,26,05
6,19,04,06,13,22,26,32,07
6,20,05,09,21,23,26,29,06
6,21,01,02,05,20,21,22,09
6,22,02,03,04,13,16,27,13
6,23,04,13,14,19,23,28,08
6,24,02,07,09,11,21,27,06
6,25,03,04,17,19,24,32,05
6,26,01,02,18,22,29,32,03
6,27,06,08,11,14,16,27,15
6,28,05,07,14,16,17,27,04
6,29,03,04,07,09,14,19,08
6,30,08,13,15,17,20,32,14
6,31,03,10,12,16,31,32,14
6,32,05,18,20,24,26,31,09
6,33,15,20,22,23,27,31,06
6,34,02,10,15,16,17,33,13
6,35,03,09,13,21,27,29,13
6,36,04,07,10,16,17,21,09
6,37,02,12,23,24,25,32,14
6,38,02,14,17,19,22,30,10
6,39,16,19,22,28,31,32,03
6,40,15,22,25,26,28,33,03
6,41,03,10,16,18,21,28,04
6,42,03,16,23,26,28,31,11
6,43,05,12,13,16,23,32,03
6,44,02,10,18,21,30,31,05
6,45,06,07,10,14,20,21,04
6,46,13,18,23,29,31,32,08
6,47,02,17,20,22,28,32,03
6,48,09,13,19,25,29,32,12
6,49,06,10,12,13,17,20,03
6,50,02,06,12,15,25,31,07
6,51,02,06,07,17,27,30,16
6,52,11,24,26,27,30,32,03
6,53,01,11,17,27,28,31,02
6,54,03,05,07,10,28,30,04
6,55,04,05,28,29,31,33,11
6,56,11,13,15,21,23,25,08
6,57,03,04,17,18,21,31,08
6,58,01,12,22,23,24,25,14
6,59,05,10,15,17,27,29,11
6,60,05,15,19,23,30,32,14
6,61,05,13,17,19,25,30,11
6,62,18,22,23,24,26,30,01
6,63,04,05,15,21,23,24,08
6,64,03,12,14,21,24,28,11
6,65,04,08,17,28,29,30,13
6,66,06,08,11,18,30,33,05
6,67,07,08,11,16,17,24,13
6,68,03,07,10,14,30,33,10
6,69,05,16,20,22,29,30,08
6,70,02,03,11,13,20,27,02
6,71,05,11,12,19,29,31,01
6,72,02,03,05,20,21,24,08
6,73,05,13,16,18,27,29,12
6,74,01,03,15,19,25,33,04
6,75,10,21,22,23,25,33,11
6,76,04,10,17,21,29,32,14
6,77,08,09,12,13,19,33,09
6,78,03,05,17,22,31,33,12
6,79,06,11,13,17,20,32,08
6,80,15,17,20,22,26,29,09
6,81,14,16,18,21,22,32,04
6,82,03,13,15,23,28,29,09
6,83,07,09,18,19,26,29,10
6,84,01,12,17,21,25,28,12
6,85,02,06,18,21,24,25,08
6,86,04,06,10,24,26,31,06
6,87,04,05,08,09,12,30,05
6,88,03,11,20,24,25,26,01
6,89,01,13,16,18,19,22,01
6,90,02,11,15,20,23,29,11
6,91,07,08,12,21,22,24,07
6,92,02,08,11,16,20,21,14
6,93,02,12,16,18,19,23,05
6,94,15,16,17,18,24,33,13
6,95,01,03,17,20,21,29,16
6,96,01,05,09,13,18,33,14
6,97,11,14,15,20,26,27,12
6,98,06,07,10,11,18,23,16
6,99,09,12,18,23,24,27,05
6,100,01,11,18,26,30,32,03
6,101,09,12,20,26,27,28,16
6,102,01,04,13,19,20,24,11
6,103,12,14,15,25,28,31,06
6,104,03,07,22,27,28,31,11
6,105,05,12,14,15,20,31,01
6,106,02,12,14,19,28,33,10
6,107,01,06,08,13,17,30,07
6,108,02,06,08,20,24,30,09
6,109,01,05,17,18,23,26,13
