year,turn,r1,r2,r3,r4,r5,r6,b
8,92,01,03,18,27,28,30,05
8,93,04,10,12,16,26,28,07
8,94,01,04,15,16,23,28,14
8,95,03,08,14,21,28,29,03
8,96,06,08,12,24,27,31,14
8,97,03,06,08,09,16,17,13
8,98,06,07,10,11,15,30,01
8,99,10,15,16,22,23,24,07
8,100,08,14,17,21,27,28,14
8,101,09,17,21,26,28,30,04
8,102,03,07,12,21,25,32,05
8,103,01,12,16,18,22,33,04
8,104,03,06,08,17,24,31,01
8,105,05,17,19,27,28,32,02
8,106,14,19,25,27,29,30,15
8,107,06,13,18,22,27,32,04
8,108,09,10,15,17,23,30,12
8,109,04,07,09,16,21,28,10
8,110,10,16,22,23,29,31,02
8,111,17,18,21,25,31,32,06
8,112,05,13,14,19,22,23,06
8,113,06,09,10,12,17,22,09
8,114,04,09,20,24,25,31,14
8,115,02,12,13,14,17,18,06
8,116,03,07,21,22,24,29,14
8,117,03,05,07,10,14,33,07
8,118,04,09,16,27,31,33,01
8,119,05,07,09,15,24,29,07
8,120,10,11,22,24,26,33,02
8,121,02,22,23,27,31,32,06
8,122,02,08,11,14,19,26,15
8,123,10,11,15,16,25,29,02
8,124,01,07,10,13,21,22,03
8,125,10,11,12,15,26,29,09
8,126,04,11,12,14,20,30,13
8,127,05,08,19,22,27,30,13
8,128,01,05,19,20,27,33,05
8,129,01,03,18,24,25,32,15
8,130,01,12,18,28,30,32,06
8,131,02,12,15,18,22,32,08
8,132,09,13,16,25,27,33,08
8,133,08,11,16,19,24,26,11
8,134,10,15,19,20,28,32,02
8,135,05,14,15,16,19,21,15
8,136,05,09,10,12,18,28,02
8,137,01,04,24,28,29,33,09
8,138,07,14,19,23,25,32,04
8,139,08,09,19,23,25,26,07
8,140,07,14,16,29,30,31,14
8,141,03,13,20,25,29,33,15
8,142,05,06,10,13,17,28,15
8,143,12,17,18,19,26,27,06
8,144,02,05,10,27,29,33,15
8,145,07,13,18,22,26,29,02
8,146,07,08,17,19,31,32,10
8,147,07,08,14,22,26,33,02
8,148,03,05,09,22,26,28,09
8,149,10,14,22,28,29,33,02
8,150,04,19,22,24,29,32,02
8,151,06,08,10,14,17,19,06
8,152,01,04,06,22,26,30,08
8,153,01,04,18,21,24,30,16
8,154,02,05,07,21,22,26,08
9,1,04,21,23,24,30,31,04
9,2,10,14,17,25,29,33,14
9,3,02,03,06,15,25,30,02
9,4,03,11,13,17,28,31,03
9,5,01,03,08,15,17,21,13
9,6,06,12,18,20,26,33,02
9,7,01,05,12,23,25,26,15
9,8,04,15,16,22,32,33,02
9,9,08,15,21,30,31,33,02
9,10,03,10,17,19,20,24,02
9,11,02,04,13,14,18,23,15
9,12,05,11,14,17,18,28,01
9,13,04,08,09,21,26,27,09
9,14,03,06,09,14,15,18,02
9,15,02,04,06,15,17,32,05
9,16,02,07,13,16,20,33,03
9,17,06,14,15,19,25,26,08
9,18,02,05,06,19,27,30,15
9,19,06,17,19,20,26,27,04
9,20,03,05,07,10,19,23,13
9,21,01,04,05,17,24,27,09
9,22,05,08,09,10,11,18,08
9,23,01,06,07,15,24,30,08
9,24,01,03,17,23,30,33,12
9,25,10,20,22,23,26,33,11
9,26,11,15,17,18,20,30,16
9,27,02,07,11,16,27,32,06
9,28,03,06,12,15,23,26,10
9,29,12,13,15,22,23,29,13
9,30,08,14,24,26,28,32,07
9,31,01,02,03,15,30,33,01
9,32,09,11,12,19,27,32,06
9,33,07,08,13,14,29,30,06
9,34,09,12,18,21,22,26,07
9,35,06,15,21,26,29,31,05
9,36,06,09,18,23,32,33,07
9,37,02,06,15,18,20,31,03
9,38,12,13,15,23,28,32,05
9,39,05,12,14,15,21,27,03
9,40,04,07,10,20,26,30,12
9,41,01,08,23,26,28,33,08
9,42,08,16,22,23,27,30,11
9,43,04,09,10,15,18,26,07
9,44,11,14,16,18,26,30,01
9,45,03,04,06,23,30,32,01
9,46,16,20,21,26,29,30,09
9,47,06,08,11,15,21,22,16
9,48,03,07,11,15,17,31,01
9,49,09,12,14,20,30,31,06
9,50,13,21,24,29,30,32,04
9,51,06,10,13,16,21,23,07
9,52,09,11,15,19,21,30,08
9,53,07,12,18,19,22,28,04
9,54,16,17,23,26,31,32,11
9,55,03,04,18,22,24,29,11
9,56,04,09,10,18,29,32,08
9,57,05,07,10,14,17,25,11
9,58,05,08,10,15,23,26,09
9,59,03,07,13,23,27,30,11
9,60,07,13,17,26,32,33,04
9,61,10,11,13,16,19,30,03
9,62,10,19,20,21,23,32,10
9,63,02,05,11,26,30,32,16
9,64,01,02,14,23,28,29,15
9,65,08,12,20,22,30,33,02
9,66,02,15,19,24,31,32,04
9,67,04,10,16,23,28,30,05
9,68,06,11,18,20,25,30,05
9,69,03,05,12,18,21,23,02
9,70,01,02,09,10,21,31,10
9,71,04,05,23,26,31,32,06
9,72,01,03,12,20,21,29,04
9,73,09,16,17,18,22,27,14
9,74,05,10,16,19,23,28,13
9,75,01,13,15,17,20,30,05
9,76,09,18,19,25,28,31,06
9,77,01,09,14,16,28,32,16
9,78,05,07,12,14,15,20,13
9,79,02,09,16,21,30,31,13
9,80,01,11,13,25,32,33,06
9,81,04,05,06,25,29,30,03
9,82,11,15,18,21,27,29,02
9,83,02,08,12,18,24,28,04
9,84,04,09,11,20,32,33,13
9,85,04,08,12,17,20,30,03
9,86,11,12,13,18,23,32,11
9,87,06,11,13,20,28,32,06
9,88,04,07,11,15,16,17,02
9,89,02,03,07,11,19,32,04
9,90,07,09,14,20,23,30,14
9,91,03,08,11,14,25,29,04
9,92,02,06,07,14,18,31,08
9,93,01,11,20,31,32,33,01
9,94,03,16,22,25,26,33,14
9,95,08,09,14,28,31,33,15
9,96,01,26,27,31,32,33,03
9,97,07,13,24,26,28,32,14
9,98,03,14,15,20,23,30,02
9,99,08,09,18,20,25,29,09
9,100,02,11,17,27,30,33,11
9,101,01,02,05,10,19,24,14
9,102,03,05,07,08,14,31,10
9,103,06,11,17,20,23,24,09
9,104,20,22,26,29,30,32,16
9,105,02,08,10,16,27,30,15
9,106,01,02,15,18,20,29,04
9,107,07,08,20,23,28,29,05
9,108,04,10,17,28,32,33,02
9,109,05,06,07,14,25,28,01
9,110,04,10,13,15,19,30,14
9,111,02,04,07,14,15,25,15
9,112,06,07,18,24,30,32,09
9,113,04,12,20,25,28,29,16
9,114,03,05,11,12,31,32,11
9,115,02,09,13,15,19,24,03
9,116,05,17,21,25,27,32,14
9,117,05,09,15,21,26,31,13
9,118,12,16,25,26,27,31,05
9,119,06,07,10,12,15,21,05
9,120,01,02,08,12,16,30,16
9,121,02,04,06,10,25,30,09
9,122,07,14,16,27,29,32,01
9,123,09,13,20,22,25,28,14
9,124,03,04,22,23,28,30,10
9,125,06,07,08,22,26,27,12
9,126,03,05,06,10,19,23,15
9,127,02,11,12,14,15,16,04
9,128,05,08,15,16,26,32,01
9,129,06,07,16,17,24,25,07
9,130,02,03,07,12,13,30,11
9,131,16,23,25,26,32,33,05
9,132,04,14,15,21,23,30,07
9,133,05,09,13,18,20,32,01
9,134,03,05,12,15,28,33,06
9,135,01,03,14,19,30,33,16
9,136,01,04,14,22,30,33,01
9,137,08,12,14,15,17,21,01
9,138,04,07,14,26,32,33,14
9,139,01,05,15,17,27,29,02
9,140,04,05,11,18,22,33,12
9,141,02,13,21,28,29,31,09
9,142,07,11,15,19,20,24,13
9,143,05,09,11,17,23,28,10
9,144,01,05,10,17,18,29,12
9,145,03,05,11,15,26,33,11
9,146,03,09,16,20,22,33,15
9,147,06,08,10,18,22,32,16
9,148,06,12,15,22,29,32,10
9,149,01,03,16,18,22,29,04
9,150,04,06,07,16,19,20,04
9,151,06,08,10,16,25,30,14
9,152,03,04,19,21,27,28,05
9,153,06,07,08,20,21,25,10
9,154,01,07,12,14,18,25,16
10,1,07,17,18,27,29,32,13
10,2,03,06,07,23,30,33,13
10,3,14,22,26,27,28,31,04
10,4,01,12,13,16,23,28,07
10,5,03,05,06,08,17,18,14
10,6,03,05,07,13,14,18,05
10,7,14,22,27,28,30,33,14
10,8,05,07,13,15,18,30,14
10,9,01,09,13,21,24,32,06
10,10,07,08,12,15,22,26,08
10,11,07,08,14,22,24,30,07
10,12,02,08,13,14,25,33,10
10,13,01,02,03,16,18,23,12
10,14,01,03,07,14,26,28,02
10,15,01,04,16,21,23,28,06
10,16,02,08,10,12,30,33,16
10,17,01,03,06,11,12,23,11
10,18,11,28,29,30,32,33,02
10,19,02,10,22,24,26,27,06
10,20,05,06,14,22,24,26,09
10,21,02,09,16,17,19,25,04
10,22,01,02,18,29,31,32,02
10,23,02,09,11,22,24,27,11
10,24,07,16,26,27,29,31,14
10,25,04,05,07,10,13,25,11
10,26,02,04,05,08,19,22,12
10,27,03,04,15,25,26,30,13
10,28,01,03,06,12,16,32,12
10,29,01,05,14,16,17,22,03
10,30,03,06,10,16,25,31,05
10,31,05,07,13,24,25,28,04
10,32,08,18,21,28,29,33,08
10,33,08,10,11,12,25,29,09
10,34,06,11,13,22,25,32,12
10,35,09,10,11,18,19,21,10
10,36,06,13,14,28,29,30,08
10,37,03,16,19,21,24,26,06
10,38,01,06,07,11,13,16,01
10,39,08,17,21,23,25,32,12
10,40,12,19,24,25,30,32,11
10,41,03,05,13,19,25,29,12
10,42,03,06,11,20,31,32,10
10,43,04,10,19,22,28,33,04
10,44,03,09,21,23,27,31,05
10,45,02,03,04,13,20,29,01
10,46,11,12,21,23,27,32,05
10,47,03,10,13,20,21,32,15
10,48,01,06,08,10,23,33,02
10,49,01,06,10,26,27,28,02
10,50,07,21,22,26,28,30,11
10,51,04,17,23,27,28,32,03
10,52,01,02,19,23,27,29,10
10,53,03,22,24,27,28,30,14
10,54,01,06,08,12,14,25,06
10,55,02,03,13,19,20,23,08
10,56,01,02,03,08,13,32,07
10,57,05,11,12,19,25,32,05
10,58,01,04,11,17,19,29,12
10,59,01,09,11,12,18,30,10
10,60,01,08,15,18,22,27,09
10,61,02,04,16,19,22,26,12
10,62,11,13,15,20,31,33,03
10,63,02,06,10,17,23,24,03
10,64,08,14,25,26,30,31,11
10,65,02,07,08,17,30,32,12
10,66,01,03,21,22,31,32,07
10,67,01,07,10,14,21,25,01
10,68,03,13,18,20,23,28,13
10,69,12,14,20,22,24,32,11
10,70,08,13,23,27,31,33,07
10,71,05,13,14,17,20,26,01
10,72,06,08,22,23,30,31,01
10,73,01,16,20,23,27,31,02
10,74,02,10,17,18,19,29,15
10,75,05,09,12,13,15,22,14
10,76,01,12,14,29,31,32,15
10,77,02,08,14,20,21,24,09
10,78,01,03,09,11,17,23,12
10,79,08,11,12,14,18,22,02
10,80,08,10,13,14,16,23,16
10,81,02,03,09,24,26,27,05
10,82,01,08,13,14,27,31,02
10,83,02,20,21,22,23,31,12
10,84,02,10,14,18,20,30,03
10,85,01,08,12,13,24,27,08
10,86,05,21,28,29,30,31,08
10,87,01,08,16,17,25,30,10
10,88,05,06,15,23,27,30,12
10,89,07,08,09,16,23,26,01
10,90,01,06,10,15,25,31,14
10,91,06,13,16,20,22,24,16
10,92,03,13,19,27,28,30,02
10,93,09,10,19,28,32,33,06
10,94,03,05,07,27,31,32,10
10,95,09,11,16,17,25,27,14
10,96,07,12,21,23,24,28,03
10,97,10,16,18,21,24,26,01
10,98,01,03,08,16,29,33,07
10,99,03,04,17,24,27,30,06
10,100,01,06,12,22,23,26,08
10,101,04,09,18,21,25,26,06
10,102,04,11,16,20,22,29,10
10,103,06,09,14,17,20,33,09
10,104,07,17,23,24,27,32,02
10,105,01,08,09,19,21,31,11
10,106,02,06,08,15,26,29,16
10,107,08,12,15,17,22,33,16
10,108,02,04,08,20,23,24,07
10,109,04,15,18,25,29,32,15
10,110,01,03,12,24,26,27,01
10,111,04,07,08,13,17,18,10
10,112,01,08,18,24,29,30,16
10,113,05,10,15,18,20,28,10
10,114,01,08,11,15,17,25,01
10,115,01,22,24,25,29,33,15
10,116,05,09,10,20,22,26,07
10,117,01,08,20,22,24,28,01
10,118,05,08,11,13,15,25,05
10,119,07,17,25,27,30,31,09
10,120,01,02,05,06,10,29,16
10,121,08,11,13,18,25,30,15
10,122,02,09,12,16,25,27,06
10,123,06,12,15,18,29,32,10
10,124,02,06,08,11,12,25,02
10,125,06,07,13,23,28,29,09
10,126,03,13,18,20,27,28,05
10,127,01,04,08,17,25,33,01
10,128,04,11,19,20,24,28,12
10,129,04,08,14,25,28,32,16
10,130,01,02,07,15,21,31,16
10,131,05,06,15,16,19,26,06
10,132,02,10,12,18,24,33,15
10,133,03,09,17,21,26,32,01
10,134,09,15,16,22,27,28,06
10,135,04,10,13,25,26,30,10
10,136,04,10,23,24,26,33,10
10,137,07,09,10,13,19,33,06
10,138,01,21,23,24,26,30,05
10,139,11,13,18,20,26,31,09
10,140,01,12,13,18,26,29,15
10,141,02,03,07,18,23,27,06
10,142,02,16,18,23,26,27,10
10,143,09,16,18,26,30,31,14
10,144,02,03,08,15,19,21,11
10,145,03,21,24,27,28,31,08
10,146,01,17,18,22,25,32,01
10,147,02,08,15,18,24,30,03
10,148,01,03,07,18,23,27,12
10,149,02,07,08,16,25,30,09
10,150,02,17,18,23,29,30,06
10,151,02,13,14,17,19,26,14
10,152,04,09,17,21,25,31,01
10,153,03,06,12,19,30,31,13
11,1,03,09,20,24,26,32,10
11,2,06,08,12,17,28,33,05
11,3,13,14,21,22,23,27,04
11,4,04,06,08,10,13,26,05
11,5,06,09,12,14,20,22,13
11,6,01,03,05,13,16,18,05
11,7,01,09,17,24,26,31,05
11,8,10,12,13,17,24,31,15
11,9,17,18,23,24,25,26,04
11,10,01,04,05,09,15,19,13
11,11,01,12,18,19,21,24,10
11,12,07,08,11,13,15,26,13
11,13,01,03,13,16,21,22,08
11,14,05,07,10,11,23,26,16
11,15,03,06,13,26,27,29,07
11,16,03,04,16,17,22,29,13
11,17,02,06,15,23,26,33,08
11,18,13,15,18,28,30,33,01
11,19,02,04,12,19,32,33,16
11,20,12,16,17,19,24,30,05
11,21,01,02,14,18,25,31,08
11,22,02,07,14,16,17,21,05
11,23,02,03,06,21,22,25,05
11,24,05,07,10,19,26,31,14
11,25,08,25,26,31,32,33,09
11,26,07,08,17,19,21,26,12
11,27,13,18,21,22,25,26,01
11,28,01,04,05,14,16,17,01
11,29,01,04,09,10,20,31,07
11,30,02,09,19,24,25,33,10
11,31,16,17,24,28,29,32,12
11,32,03,05,07,13,14,15,15
11,33,02,08,12,13,19,29,04
11,34,13,14,17,19,24,31,08
11,35,13,14,18,20,27,31,02
11,36,02,11,20,22,24,31,05
11,37,01,03,04,06,17,25,11
11,38,02,14,15,19,23,24,12
11,39,03,07,10,16,24,29,13
11,40,05,11,14,24,26,28,13
11,41,04,10,12,13,30,32,13
11,42,05,13,15,17,19,21,15
11,43,04,13,14,17,25,31,04
11,44,03,14,16,26,27,31,09
11,45,02,16,17,20,26,32,08
11,46,09,17,18,26,29,30,08
11,47,04,13,23,25,27,33,14
11,48,10,14,18,25,26,27,15
11,49,01,11,17,18,27,31,14
11,50,04,05,19,22,28,29,15
11,51,01,07,11,14,15,16,14
11,52,04,05,08,19,27,28,08
11,53,03,06,10,12,22,30,15
11,54,08,11,16,17,22,33,08
11,55,08,13,16,17,29,32,16
11,56,13,16,19,20,23,25,10
11,57,04,06,20,21,26,33,02
11,58,07,18,22,30,32,33,06
11,59,24,26,27,29,31,33,16
11,60,10,11,13,21,27,31,01
11,61,02,03,08,13,19,21,03
11,62,04,08,09,10,29,30,03
11,63,04,06,13,15,18,19,05
11,64,03,06,07,29,30,33,02
11,65,04,16,23,25,27,29,03
11,66,04,06,14,17,30,32,12
11,67,17,19,20,24,25,27,12
11,68,03,07,10,15,19,24,10
11,69,02,13,16,18,24,30,12
11,70,01,03,05,12,21,28,12
11,71,01,02,15,22,28,30,02
11,72,01,06,10,11,18,27,12
11,73,03,04,05,12,17,21,14
11,74,02,21,26,28,29,32,01
11,75,07,09,10,12,31,32,13
11,76,06,19,21,26,32,33,13
11,77,01,07,08,15,26,29,10
11,78,03,05,13,20,22,29,09
11,79,03,14,15,16,24,29,05
11,80,02,07,09,25,31,32,09
11,81,06,14,19,23,25,32,12
11,82,07,16,17,20,25,26,04
11,83,07,16,18,24,28,29,06
11,84,09,10,12,16,18,32,15
11,85,03,06,11,21,24,31,10
11,86,06,07,09,12,17,24,09
11,87,02,03,04,05,18,28,01
11,88,03,09,17,20,21,29,04
11,89,01,02,11,24,29,30,12
11,90,02,05,14,18,21,25,16
11,91,09,15,21,23,28,30,03
11,92,05,10,17,26,31,32,04
11,93,04,07,11,13,23,30,09
11,94,09,11,12,17,18,19,05
11,95,03,07,08,10,23,24,05
11,96,01,04,07,13,14,19,15
11,97,09,17,19,20,21,26,16
11,98,03,07,20,21,22,32,05
11,99,10,12,13,21,26,27,14
11,100,07,11,21,23,31,32,05
11,101,06,10,19,23,29,31,06
11,102,01,05,13,21,27,31,11
11,103,04,05,10,13,15,16,12
11,104,09,10,16,20,25,29,09
11,105,04,06,23,25,27,28,01
11,106,02,11,12,14,24,32,14
11,107,04,09,16,17,22,29,15
11,108,02,17,22,26,29,33,10
11,109,01,03,09,15,16,33,15
11,110,12,14,21,26,28,33,12
11,111,01,03,05,20,25,27,04
11,112,03,05,16,18,23,24,15
11,113,06,10,11,25,32,33,05
11,114,01,14,15,16,30,32,09
11,115,07,08,09,12,17,33,16
11,116,01,07,11,12,17,27,05
11,117,08,10,19,26,28,30,04
11,118,05,06,11,14,20,21,10
11,119,09,12,14,19,28,32,01
11,120,04,14,17,28,30,33,07
11,121,04,14,22,25,32,33,02
11,122,10,12,18,26,27,31,03
11,123,01,04,05,14,19,28,16
11,124,09,18,19,26,31,32,16
11,125,03,10,15,24,27,32,08
11,126,03,07,13,18,23,26,16
11,127,16,19,22,23,27,29,11
11,128,09,11,14,17,19,23,12
11,129,07,10,11,21,23,26,06
11,130,07,14,18,23,25,32,15
11,131,02,07,09,17,21,25,01
11,132,02,05,12,13,25,33,07
11,133,12,14,20,21,25,31,16
11,134,01,02,06,07,30,31,10
11,135,12,13,17,20,25,26,12
11,136,02,04,06,20,22,31,07
11,137,02,11,18,23,30,33,13
11,138,01,05,15,24,28,32,07
11,139,08,20,24,27,30,31,03
11,140,04,18,20,22,27,29,06
11,141,02,04,06,19,24,29,11
11,142,12,15,16,26,29,31,02
11,143,07,08,12,14,15,30,16
11,144,01,02,09,10,16,24,03
11,145,02,04,14,15,26,30,04
11,146,11,23,26,28,32,33,10
11,147,04,08,12,17,18,30,10
11,148,05,14,22,23,25,26,14
11,149,04,05,06,07,23,31,16
11,150,08,10,12,15,22,27,13
11,151,07,11,16,19,31,33,10
11,152,04,10,11,12,21,26,13
11,153,05,08,09,10,20,25,13
12,1,01,04,05,09,15,17,06
12,2,02,03,07,09,10,32,13
12,3,03,06,08,24,29,31,09
12,4,01,05,10,11,21,23,16
12,5,07,09,18,27,31,33,06
12,6,02,22,25,29,32,33,08
12,7,10,17,19,27,28,32,04
12,8,01,12,20,23,24,29,08
12,9,04,16,24,26,27,33,11
12,10,01,03,13,19,25,26,10
12,11,04,14,15,16,20,26,05
12,12,15,17,18,20,23,27,01
12,13,06,08,24,29,30,32,13
12,14,01,02,05,16,28,30,12
12,15,01,03,06,10,21,23,15
12,16,02,05,12,17,22,25,08
12,17,06,09,14,19,25,28,10
12,18,03,05,06,22,26,32,15
12,19,07,14,18,20,22,30,16
12,20,03,08,12,18,23,29,11
12,21,01,15,16,18,22,30,03
12,22,04,08,12,24,26,27,04
12,23,05,09,15,23,24,33,02
12,24,04,12,19,21,25,28,13
12,25,03,08,09,17,25,27,06
12,26,03,07,09,15,24,25,16
12,27,04,16,22,25,30,31,12
12,28,10,15,20,21,28,30,11
12,29,04,07,15,25,26,28,03
12,30,09,10,17,18,21,31,08
12,31,04,16,22,24,27,31,03
12,32,01,02,10,17,22,24,04
12,33,02,03,15,16,17,27,04
12,34,02,03,08,23,32,33,16
12,35,09,11,12,21,24,26,05
12,36,02,11,13,18,19,26,09
12,37,05,14,19,24,28,33,09
12,38,09,10,11,15,19,33,16
12,39,01,02,05,13,22,29,08
12,40,03,08,09,22,25,31,10
12,41,08,11,15,20,24,32,02
12,42,05,06,11,19,24,28,16
12,43,02,09,11,21,26,33,03
12,44,06,09,10,14,22,25,03
12,45,08,11,20,21,27,30,09
12,46,04,12,19,20,23,33,06
12,47,06,07,11,16,32,33,11
12,48,01,05,14,22,24,30,10
12,49,04,12,13,19,20,32,02
12,50,07,13,15,17,19,24,11
12,51,02,12,14,17,30,31,09
12,52,02,03,05,06,20,24,04
12,53,04,15,22,25,27,33,04
12,54,06,14,18,20,30,33,14
12,55,04,06,13,20,24,28,01
12,56,04,07,14,17,26,31,10
12,57,03,05,19,21,27,31,04
12,58,03,06,15,20,25,26,04
12,59,04,13,21,22,26,31,01
12,60,07,10,13,16,17,29,01
12,61,03,08,11,12,14,18,14
12,62,02,13,16,17,20,31,07
12,63,02,10,17,19,24,27,12
12,64,05,10,11,16,23,24,11
12,65,08,10,18,19,27,31,14
12,66,01,02,09,26,29,33,12
12,67,04,05,10,21,26,30,16
12,68,05,17,22,26,32,33,10
12,69,08,10,11,18,20,29,06
12,70,02,03,04,24,31,32,11
12,71,03,04,19,21,22,23,08
12,72,02,03,07,09,13,30,06
12,73,04,07,09,10,17,27,05
12,74,15,16,18,19,28,32,08
12,75,04,06,22,23,29,32,11
12,76,11,18,22,27,29,30,15
12,77,02,04,13,18,26,28,12
12,78,08,15,22,24,28,33,12
12,79,06,07,12,24,30,33,12
12,80,04,09,14,15,16,27,03
12,81,02,05,10,24,25,29,06
12,82,02,04,11,18,22,29,06
12,83,04,09,14,15,26,33,04
12,84,02,10,20,26,28,29,14
12,85,05,17,24,30,31,33,05
12,86,08,09,13,15,22,23,08
12,87,03,10,11,13,14,22,09
12,88,03,05,23,24,27,31,15
12,89,03,07,10,13,14,25,11
12,90,02,13,20,25,29,30,11
12,91,01,05,07,08,19,21,16
12,92,06,13,17,18,28,32,03
12,93,03,05,19,21,24,33,13
12,94,06,09,14,16,23,33,15
12,95,17,24,27,28,29,30,02
12,96,04,07,11,16,29,33,07
12,97,05,08,13,14,19,22,06
12,98,02,12,19,26,29,31,09
12,99,08,12,15,16,21,27,16
12,100,05,07,15,18,25,33,10
12,101,09,12,17,18,20,33,02
12,102,13,25,27,28,29,30,15
12,103,04,09,11,14,32,33,02
12,104,04,05,09,10,19,28,03
12,105,06,13,14,15,17,30,04
12,106,13,14,20,22,23,32,16
12,107,11,12,15,24,25,31,09
12,108,01,09,12,13,19,28,13
12,109,02,12,24,26,29,31,03
12,110,03,07,10,13,22,32,09
12,111,02,09,10,20,22,31,13
12,112,08,15,20,21,27,31,06
12,113,03,06,09,13,18,32,06
12,114,01,06,11,26,27,29,15
12,115,03,08,20,24,26,32,14
12,116,03,21,26,29,31,32,03
12,117,13,15,18,20,24,28,09
12,118,05,06,07,12,15,28,11
12,119,12,20,25,26,27,28,13
12,120,01,04,20,24,28,29,16
12,121,01,07,08,20,23,24,11
12,122,12,13,19,22,28,29,11
12,123,08,10,16,25,28,33,09
12,124,06,07,21,25,27,33,11
12,125,08,12,13,26,29,33,01
12,126,03,05,12,15,23,24,07
12,127,01,09,11,21,26,32,08
12,128,05,09,12,29,30,31,05
12,129,01,07,09,17,21,29,01
12,130,01,03,15,20,22,31,03
12,131,06,18,19,26,28,32,12
12,132,07,12,16,17,21,25,10
12,133,01,08,11,20,21,29,02
12,134,02,05,06,07,13,23,15
12,135,02,05,07,08,11,17,16
12,136,02,07,08,17,21,28,11
12,137,01,02,04,06,13,17,07
12,138,01,07,16,17,19,21,14
12,139,08,19,21,24,28,31,15
12,140,14,18,27,30,31,33,15
12,141,03,05,08,19,20,27,09
12,142,05,18,22,28,29,31,06
12,143,07,08,18,25,30,32,06
12,144,03,10,12,13,27,30,04
12,145,05,20,26,27,28,33,03
12,146,01,05,07,13,29,32,13
12,147,02,12,15,23,24,32,09
12,148,03,06,11,17,21,31,07
12,149,01,05,13,25,26,32,13
12,150,09,11,17,23,24,26,07
12,151,05,14,24,25,26,32,01
12,152,10,12,18,22,28,29,07
12,153,04,05,11,21,27,28,10
12,154,05,07,12,16,28,32,04
13,1,06,08,14,15,24,25,06
13,2,01,16,18,22,28,30,12
13,3,22,23,26,27,28,33,09
13,4,06,10,16,20,27,32,08
13,5,01,13,14,25,31,32,12
13,6,09,10,13,17,22,30,13
13,7,02,09,15,22,26,32,01
13,8,03,08,17,21,25,32,15
13,9,01,04,09,13,16,23,02
13,10,01,09,11,17,32,33,12
13,11,03,12,17,24,27,29,09
13,12,06,14,17,22,28,29,02
13,13,05,06,13,19,22,28,09
13,14,02,04,05,17,19,20,08
13,15,05,06,07,11,13,18,15
13,16,02,05,06,12,14,28,05
13,17,04,06,12,30,31,32,09
13,18,02,08,13,28,29,30,05
13,19,01,02,05,16,20,26,06
13,20,01,07,08,12,16,21,01
13,21,01,06,17,19,26,31,11
13,22,02,04,07,09,15,20,07
13,23,03,06,15,18,30,32,05
13,24,04,05,13,23,27,30,09
13,25,16,17,18,24,25,30,08
13,26,04,11,14,15,22,31,11
13,27,01,02,04,12,21,24,12
13,28,07,08,14,25,26,28,13
13,29,06,07,10,19,23,29,12
13,30,07,14,18,25,26,29,06
13,31,03,13,14,15,21,33,03
13,32,04,21,25,29,30,33,03
13,33,05,06,13,17,19,28,01
13,34,06,15,20,22,26,33,09
13,35,01,14,15,17,26,30,02
13,36,04,05,09,27,29,31,13
13,37,02,15,18,27,28,32,14
13,38,09,10,12,14,15,19,11
13,39,01,02,14,15,24,29,06
13,40,02,04,10,12,17,30,10
13,41,02,10,12,17,23,24,05
13,42,01,08,12,13,15,33,03
13,43,03,06,14,15,17,25,16
13,44,03,05,11,18,26,28,06
13,45,06,07,08,14,23,31,12
13,46,03,16,19,20,24,26,06
13,47,01,08,11,17,27,30,12
13,48,10,13,17,28,30,32,04
13,49,10,13,14,16,21,32,14
13,50,03,07,13,18,22,25,03
13,51,08,12,15,19,28,29,02
13,52,06,07,14,21,22,24,13
13,53,03,12,13,22,30,33,14
13,54,03,04,08,14,21,28,14
13,55,08,18,19,22,27,32,06
13,56,03,12,25,26,28,29,16
13,57,13,16,19,23,26,28,05
13,58,08,11,17,21,23,24,05
13,59,03,10,18,24,27,29,09
13,60,05,07,10,13,19,20,15
13,61,05,06,07,12,13,18,12
13,62,01,06,07,19,22,27,02
13,63,10,15,18,20,23,31,12
13,64,01,09,13,22,25,32,12
13,65,07,18,19,23,29,30,02
13,66,01,03,16,17,20,32,07
13,67,01,04,09,15,22,30,06
13,68,02,07,13,20,25,27,06
13,69,07,16,17,18,30,33,06
13,70,02,03,09,10,28,30,06
13,71,05,12,21,23,26,28,09
13,72,02,08,11,14,19,33,09
13,73,02,09,13,17,20,28,11
13,74,03,06,08,14,19,32,03
13,75,04,06,09,25,30,33,14
13,76,14,23,24,26,29,30,03
13,77,09,14,23,24,26,29,03
13,78,03,05,17,18,26,27,15
13,79,07,13,17,19,22,26,13
13,80,10,11,12,23,28,32,16
13,81,01,04,10,13,21,31,13
13,82,04,13,14,20,22,30,06
13,83,05,06,12,14,19,23,09
13,84,05,07,09,11,20,21,03
13,85,02,08,12,14,16,32,16
13,86,02,04,11,13,16,26,11
13,87,02,13,19,23,24,28,05
13,88,09,15,20,21,22,24,14
13,89,04,08,12,19,21,25,13
13,90,02,05,11,23,24,29,08
13,91,04,14,24,25,28,31,10
13,92,07,11,15,21,26,31,06
13,93,01,02,08,26,29,31,14
13,94,02,04,14,18,20,22,07
13,95,01,06,15,19,28,29,10
13,96,01,02,22,28,29,30,15
13,97,05,14,17,22,23,25,07
13,98,07,15,18,19,20,26,14
13,99,05,11,20,21,26,31,03
